"Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"2009-01-16","Albury","14.9","26.7","0","NA","NA","SW","56","WSW","SW","20","31","46","20","1014.1","1012.7","NA","NA","18","25.5","No","No"
"2009-01-24","Albury","20.8","30.6","0","NA","NA","W","54","W","W","30","28","41","21","1005.4","1007.6","NA","NA","23.3","29.7","No","No"
"2009-01-25","Albury","14","34.3","0","NA","NA","WSW","24","ESE","SSE","7","13","44","10","1016.5","1014.6","NA","NA","21.2","32.1","No","No"
"2009-03-09","Albury","13.8","31.8","0","NA","NA","NNE","24","SSE","NE","6","17","49","28","1019.7","1015.9","NA","NA","18.6","30.5","No","No"
"2009-05-29","Albury","2.2","16.5","0","NA","NA","ESE","33","NA","SE","0","19","67","44","1025.6","1024","NA","NA","10.2","15.9","No","No"
"2009-06-15","Albury","0.5","14.9","0.4","NA","NA","ESE","13","NNE","NA","2","0","99","63","1013.9","1012.8","NA","NA","5.4","13.9","No","No"
"2009-06-17","Albury","0.6","15.9","0","NA","NA","WSW","13","NA","W","0","2","94","52","1029.7","1027.7","NA","NA","5.6","14.9","No","No"
"2009-07-21","Albury","0.8","17.7","0","NA","NA","N","43","ENE","ENE","4","17","87","46","1019.7","1013.4","NA","NA","6.6","17.6","No","No"
"2009-08-20","Albury","5.5","18.4","0","NA","NA","N","22","ESE","N","6","13","78","51","1019.7","1014.3","NA","NA","11.1","17.3","No","No"
"2009-09-05","Albury","2.1","15","0","NA","NA","WNW","30","ESE","NW","4","11","81","54","1019.5","1017.9","NA","6","8.6","14.9","No","No"
"2009-12-22","Albury","15.1","36.6","0","NA","NA","WSW","39","ENE","SW","11","19","44","10","1010.9","1007.3","NA","NA","23.1","35.9","No","No"
"2010-02-01","Albury","21","38.2","0","NA","NA","E","67","S","SSE","4","15","46","19","1014","1009.9","NA","NA","25.2","36.9","No","Yes"
"2010-02-03","Albury","17.9","35.6","0","NA","NA","E","57","SSE","ESE","15","17","36","23","1014","1008.5","NA","3","24.3","34.6","No","No"
"2010-02-19","Albury","16.4","30.3","0","NA","NA","NNE","26","E","WNW","9","9","54","34","1023.6","1019.6","NA","NA","20.8","29.2","No","No"
"2010-03-04","Albury","15.1","NA","0","NA","NA","NA","NA","SE","S","7","11","70","35","1014.2","1009.8","NA","NA","20.1","28.6","No","No"
"2010-03-17","Albury","13.3","29.6","0","NA","NA","SSW","19","N","W","2","4","76","35","1025.6","1023.3","NA","NA","17.6","29.5","No","No"
"2010-05-17","Albury","4.5","17","0","NA","NA","ESE","48","S","SSE","7","7","92","50","1021.1","1017.9","NA","NA","9.2","16.7","No","No"
"2010-08-11","Albury","7.2","10.4","8.2","NA","NA","NNE","33","NE","N","11","13","96","85","1006.2","1000.1","8","8","7.7","10","Yes","Yes"
"2010-08-25","Albury","4.2","10.7","1.8","NA","NA","WNW","65","WNW","NNW","13","24","87","65","1010.9","1005.5","8","8","5.4","10.1","Yes","Yes"
"2010-10-06","Albury","11.1","24.9","0","NA","NA","W","69","ESE","N","11","20","80","52","1019.8","1014.4","NA","NA","17.4","24.5","No","Yes"
"2010-10-12","Albury","14.5","19.9","0.8","NA","NA","NNE","31","ESE","ENE","7","19","91","66","1027.7","1023.9","8","8","14.7","19.5","No","Yes"
"2010-10-29","Albury","10.3","25.6","0","NA","NA","NE","39","E","ENE","7","24","70","44","1017.2","1012.6","NA","NA","17.1","25.5","No","Yes"
"2010-11-07","Albury","9.3","24.5","0","NA","NA","W","54","SE","N","9","19","73","46","1018.3","1013.8","NA","1","15.9","24.1","No","Yes"
"2010-11-15","Albury","15.9","23.1","2.4","NA","NA","W","37","W","W","19","19","84","32","1014.3","1011.7","7","NA","16.7","22.6","Yes","No"
"2011-01-09","Albury","20.1","33","0","NA","NA","ENE","61","SE","SSE","17","22","55","41","1013.8","1010.6","NA","NA","26.7","32.5","No","Yes"
"2011-03-18","Albury","12.8","26.3","0","NA","NA","SE","20","SSE","SSE","9","11","77","47","1015.4","1012.4","1","1","16.2","25.2","No","No"
"2011-03-23","Albury","16.3","20.1","0","NA","NA","W","37","NNW","WNW","15","22","76","63","1005.7","1005.3","8","8","16.4","18.4","No","Yes"
"2011-07-31","Albury","4.9","14.7","1","NA","NA","E","20","NNE","ENE","2","15","96","76","1021.7","1019.8","NA","NA","8.8","13.8","No","No"
"2011-08-13","Albury","0.7","13.4","0","NA","NA","ESE","13","NA","E","0","7","91","65","1025","1023.1","NA","NA","5.8","13","No","No"
"2011-09-30","Albury","7.5","15.5","8.2","NA","NA","NW","48","NW","NNW","20","20","84","59","1006.1","1003.7","8","8","10.1","15.1","Yes","Yes"
"2011-11-20","Albury","17.4","22.8","0","NA","NA","W","44","WNW","WNW","28","24","92","44","1011.4","1013.6","8","NA","17.5","20.7","No","No"
"2011-12-29","Albury","13.8","29.7","0","NA","NA","SSE","22","SSE","SSE","11","11","49","28","1014.5","1012.5","NA","NA","20.8","27.9","No","No"
"2012-03-06","Albury","12.4","26.2","0","NA","NA","SE","43","NA","ESE","0","9","79","50","1019","1017.3","7","4","16.7","24.8","No","No"
"2012-03-21","Albury","16.5","27.7","0","NA","NA","WNW","50","ENE","WNW","11","28","66","61","1007.9","1004.2","4","8","20.9","25.4","No","No"
"2012-03-23","Albury","11","18.3","0","NA","NA","W","54","NW","W","15","31","83","47","1006.9","1006.9","8","3","12.5","16.7","No","No"
"2012-05-10","Albury","7.5","21.4","0.4","NA","NA","S","13","NA","S","0","7","100","56","1022.8","1019.5","5","7","12.5","21","No","No"
"2012-05-16","Albury","3.2","17","0","NA","NA","E","17","NA","ENE","0","9","94","58","1026.5","1023.7","8","2","7.6","16.4","No","No"
"2012-05-28","Albury","1.9","15.9","0.2","NA","NA","SE","17","S","WSW","4","11","97","57","1028.7","1027.1","NA","NA","6.1","15.2","No","No"
"2012-06-18","Albury","1.3","12.7","0","NA","NA","W","22","NA","WNW","0","11","96","75","1024.7","1023.5","NA","8","5.6","11.3","No","Yes"
"2012-07-09","Albury","0.2","15.1","0","NA","NA","E","24","NA","SE","0","9","95","60","1029","1024.2","1","1","5.2","14.3","No","Yes"
"2012-08-08","Albury","-0.5","16.3","0","NA","NA","W","35","NA","NNE","0","15","87","54","1022.9","1016.5","1","NA","6.1","15.9","No","Yes"
"2012-09-03","Albury","0.6","18.7","0","NA","NA","E","19","NA","ESE","0","7","75","48","1024.7","1021.5","NA","NA","8.3","17.9","No","No"
"2012-09-08","Albury","7.5","15.2","3.4","NA","NA","WNW","46","W","WNW","22","24","86","63","1017.9","1017.4","8","8","9.6","14","Yes","No"
"2012-10-19","Albury","8.5","27.2","0","NA","NA","E","24","ESE","ENE","7","17","78","35","1015.9","1010.6","NA","NA","14.9","26.1","No","No"
"2012-11-05","Albury","11.6","27.3","0","NA","NA","S","28","NA","S","0","13","68","51","1015.9","1013.3","NA","8","17.8","26.3","No","No"
"2012-11-30","Albury","23","34.4","0","NA","NA","NW","43","ENE","WSW","9","13","53","46","1010.4","1011","NA","5","29.5","31.1","No","No"
"2013-01-22","Albury","16.6","36.5","0.2","NA","NA","WSW","52","S","W","7","26","63","11","1009.1","1006.7","NA","NA","24.2","35.6","No","No"
"2013-05-01","Albury","9.3","17.9","0.2","NA","NA","WSW","33","S","WSW","6","19","83","50","1020.9","1019.3","7","NA","11.9","17.5","No","No"
"2013-05-23","Albury","5.4","17.2","0","NA","NA","SE","33","SSE","SSE","17","20","59","45","1016.9","1017.6","NA","NA","13.5","16.9","No","No"
"2013-06-26","Albury","0.9","16.8","0","NA","NA","SE","48","NA","ESE","0","6","81","51","1024.5","1021.8","NA","NA","6.5","16","No","No"
"2013-07-12","Albury","1.5","15.8","0","NA","NA","SE","19","NNW","ESE","4","7","100","64","1032","1028.3","3","8","5.1","14.4","No","No"
"2013-11-21","Albury","16.8","27.2","0","NA","NA","WSW","31","NNE","NW","2","11","63","50","1010.3","1007.7","6","1","19.5","25","No","No"
"2013-12-17","Albury","16.9","34","0","NA","NA","N","30","E","ESE","7","9","54","29","1019.5","1016.3","NA","4","24.7","31.8","No","No"
"2014-01-08","Albury","14.2","30.4","0","NA","NA","SE","33","SSE","SE","20","11","42","26","1021","1017.1","NA","NA","18.9","28.3","No","No"
"2014-01-19","Albury","21.3","37.9","0","NA","NA","NW","37","S","W","6","19","50","21","1008.1","1003.9","1","NA","26.5","36.4","No","No"
"2014-02-13","Albury","21.8","31.2","0","NA","NA","S","22","NW","SSE","11","13","57","39","1012.1","1009.1","NA","NA","24.9","29.9","No","No"
"2014-03-16","Albury","13","20","2.6","NA","NA","WNW","48","WNW","W","24","26","70","38","1007.9","1008","NA","8","14.4","19.2","Yes","No"
"2014-06-02","Albury","10.1","15.8","2.2","NA","NA","NW","26","ENE","WNW","7","11","99","79","1018.9","1016.8","8","2","11.4","15.2","Yes","No"
"2014-06-13","Albury","7.9","12.2","3.6","NA","NA","ENE","20","NA","E","0","9","100","100","1016.1","1013.2","8","8","10.3","12.2","Yes","Yes"
"2014-09-23","Albury","NA","24.1","NA","NA","NA","NA","NA","NA","SE","NA","11","NA","32","NA","1024","NA","NA","NA","22.3","NA","NA"
"2014-10-22","Albury","10.8","29","0","NA","NA","N","30","SE","NE","9","11","76","43","1023.9","1018.7","2","NA","17","27.4","No","No"
"2014-11-13","Albury","12.7","33.2","0","NA","NA","WNW","24","E","W","6","9","54","15","1015.2","1011.3","NA","NA","21","31.9","No","No"
"2014-11-25","Albury","10.1","22.8","27","NA","NA","WSW","44","W","W","17","24","63","34","1018.2","1017.6","1","1","14.3","21.4","Yes","No"
"2015-04-18","Albury","15.2","19.9","35.8","NA","NA","WNW","35","NNE","WNW","9","13","94","98","1015.9","1012.3","8","8","17.5","17.2","Yes","Yes"
"2015-06-06","Albury","0.8","13.2","0.2","NA","NA","NNW","17","SSW","N","6","4","100","65","1031.4","1029.4","8","NA","3.3","13","No","No"
"2015-06-11","Albury","0.7","15.2","0","NA","NA","ESE","41","NA","E","0","9","75","52","1037.8","1034.2","NA","NA","6.5","15.2","No","No"
"2015-06-13","Albury","0.3","15.3","0","NA","NA","N","11","NA","ESE","0","7","100","67","1032.1","1027.7","7","6","5.1","14.8","No","No"
"2015-08-05","Albury","2.2","11.5","4.2","NA","NA","W","46","WNW","W","24","22","94","71","1014.2","1012.2","8","2","7.2","10.9","Yes","Yes"
"2015-09-01","Albury","1.1","14.9","0","NA","NA","NNW","24","E","WNW","7","9","99","50","1018.2","1015.6","8","NA","5.3","14.2","No","No"
